iter	RMSE
0	77253.41201
1	75126.23158
2	73334.84252
3	71516.51569
4	69677.45276
5	67987.27142
6	66182.92788
7	64663.0576
8	63037.82281
9	61534.09398
10	60010.6983
11	58803.49891
12	57358.36634
13	56094.71114
14	54835.97458
15	53808.37366
16	52589.56885
17	51625.58877
18	50618.67839
19	49605.14792
20	48585.29196
21	47671.41886
22	46872.53279
23	45964.15427
24	45063.44719
25	44269.92792
26	43442.00035
27	42677.12917
28	42005.69954
29	41287.85567
30	40581.44015
31	39945.10859
32	39277.68158
33	38620.25021
34	38103.6487
35	37588.50349
36	37039.79504
37	36517.56083
38	36014.70725
39	35571.79077
40	35128.36095
41	34670.25883
42	34265.43393
43	33790.79274
44	33435.12224
45	32959.50551
46	32605.49321
47	32214.81806
48	31848.88569
49	31441.98578
50	31095.12353
51	30796.54777
52	30429.24328
53	30121.50922
54	29861.46612
55	29545.13545
56	29269.40319
57	28970.76355
58	28707.37426
59	28440.1932
60	28162.8708
61	27909.51967
62	27656.70938
63	27417.08477
64	27208.84529
65	27010.45675
66	26789.96715
67	26587.40794
68	26435.00785
69	26232.03194
70	26056.7896
71	25855.45115
72	25680.03416
73	25465.66105
74	25298.64421
75	25121.77385
76	24947.77383
77	24786.97877
78	24606.18689
79	24426.05736
80	24250.37005
81	24092.24005
82	23923.17631
83	23755.99371
84	23589.60955
85	23465.89721
86	23341.36036
87	23253.1155
88	23130.81192
89	23018.98832
90	22898.51132
91	22787.4669
92	22690.82175
93	22598.97522
94	22499.24721
95	22407.48041
96	22326.1368
97	22237.70991
98	22173.75222
99	22062.63208
100	21982.57774
101	21890.91028
102	21808.67123
103	21707.42585
104	21602.23861
105	21537.15901
106	21475.3126
107	21403.91436
108	21321.65137
109	21249.73948
110	21184.26118
111	21116.42076
112	21034.99912
113	20990.2244
114	20918.06805
115	20867.77135
116	20803.91945
117	20705.49078
118	20646.94211
119	20593.576
120	20519.02417
121	20451.65477
122	20378.67822
123	20319.33033
124	20275.74404
125	20219.42731
126	20154.97282
127	20088.91377
128	20019.43851
129	19960.86199
130	19923.6555
131	19880.49634
132	19830.68007
133	19782.12167
134	19744.66526
135	19706.92666
136	19652.80502
137	19618.28392
138	19567.8711
139	19510.8543
140	19446.22877
141	19388.82812
142	19343.72855
143	19322.93661
144	19261.94756
145	19225.82273
146	19185.91502
147	19140.56265
148	19101.78403
149	19079.07283
150	19010.23326
151	18978.0513
152	18923.27595
153	18872.71745
154	18831.35705
155	18787.34904
156	18740.9908
157	18708.74291
158	18688.0049
159	18645.45498
160	18596.94386
161	18544.93911
162	18508.925
163	18467.90815
164	18442.38682
165	18408.30954
166	18384.79243
167	18353.52151
