Learning rate set to 0.04175
0:	learn: 77253.4120105	total: 50.6ms	remaining: 50.6s
1:	learn: 75126.2315753	total: 52.8ms	remaining: 26.4s
2:	learn: 73334.8425187	total: 54.6ms	remaining: 18.2s
3:	learn: 71516.5156887	total: 55.8ms	remaining: 13.9s
4:	learn: 69677.4527552	total: 57ms	remaining: 11.3s
5:	learn: 67987.2714169	total: 58.1ms	remaining: 9.63s
6:	learn: 66182.9278829	total: 59.3ms	remaining: 8.41s
7:	learn: 64663.0575975	total: 60.4ms	remaining: 7.5s
8:	learn: 63037.8228057	total: 61.6ms	remaining: 6.79s
9:	learn: 61534.0939774	total: 62.7ms	remaining: 6.21s
10:	learn: 60010.6983004	total: 63.9ms	remaining: 5.74s
11:	learn: 58803.4989104	total: 64.7ms	remaining: 5.33s
12:	learn: 57358.3663402	total: 65.9ms	remaining: 5s
13:	learn: 56094.7111427	total: 67ms	remaining: 4.72s
14:	learn: 54835.9745769	total: 68.1ms	remaining: 4.47s
15:	learn: 53808.3736601	total: 69.2ms	remaining: 4.26s
16:	learn: 52589.5688537	total: 70.3ms	remaining: 4.07s
17:	learn: 51625.5887706	total: 71.2ms	remaining: 3.88s
18:	learn: 50618.6783929	total: 72.3ms	remaining: 3.73s
19:	learn: 49605.1479189	total: 73.4ms	remaining: 3.6s
20:	learn: 48585.2919612	total: 74.5ms	remaining: 3.48s
21:	learn: 47671.4188557	total: 75.7ms	remaining: 3.37s
22:	learn: 46872.5327867	total: 76.9ms	remaining: 3.27s
23:	learn: 45964.1542723	total: 78ms	remaining: 3.17s
24:	learn: 45063.4471889	total: 79.2ms	remaining: 3.09s
25:	learn: 44269.9279181	total: 80.3ms	remaining: 3.01s
26:	learn: 43442.0003544	total: 81.5ms	remaining: 2.94s
27:	learn: 42677.1291671	total: 82.6ms	remaining: 2.87s
28:	learn: 42005.6995409	total: 83.9ms	remaining: 2.81s
29:	learn: 41287.8556689	total: 85.3ms	remaining: 2.76s
30:	learn: 40581.4401519	total: 86.6ms	remaining: 2.71s
31:	learn: 39945.1085948	total: 87.9ms	remaining: 2.66s
32:	learn: 39277.6815760	total: 89.6ms	remaining: 2.63s
33:	learn: 38620.2502146	total: 91.3ms	remaining: 2.59s
34:	learn: 38103.6487030	total: 92.4ms	remaining: 2.55s
35:	learn: 37588.5034856	total: 93.8ms	remaining: 2.51s
36:	learn: 37039.7950405	total: 94.9ms	remaining: 2.47s
37:	learn: 36517.5608260	total: 96.1ms	remaining: 2.43s
38:	learn: 36014.7072507	total: 97.2ms	remaining: 2.39s
39:	learn: 35571.7907674	total: 98.4ms	remaining: 2.36s
40:	learn: 35128.3609481	total: 99.5ms	remaining: 2.33s
41:	learn: 34670.2588273	total: 101ms	remaining: 2.29s
42:	learn: 34265.4339325	total: 103ms	remaining: 2.29s
43:	learn: 33790.7927430	total: 104ms	remaining: 2.26s
44:	learn: 33435.1222398	total: 105ms	remaining: 2.23s
45:	learn: 32959.5055094	total: 106ms	remaining: 2.21s
46:	learn: 32605.4932062	total: 108ms	remaining: 2.18s
47:	learn: 32214.8180586	total: 109ms	remaining: 2.16s
48:	learn: 31848.8856923	total: 110ms	remaining: 2.13s
49:	learn: 31441.9857799	total: 111ms	remaining: 2.11s
