Learning rate set to 0.04175
0:	learn: 77253.4120105	total: 2.05ms	remaining: 2.04s
1:	learn: 75126.2315753	total: 3.69ms	remaining: 1.84s
2:	learn: 73334.8425187	total: 4.98ms	remaining: 1.65s
3:	learn: 71516.5156887	total: 6.22ms	remaining: 1.55s
4:	learn: 69677.4527552	total: 7.58ms	remaining: 1.51s
5:	learn: 67987.2714169	total: 8.82ms	remaining: 1.46s
6:	learn: 66182.9278829	total: 10ms	remaining: 1.42s
7:	learn: 64663.0575975	total: 11.3ms	remaining: 1.41s
8:	learn: 63037.8228057	total: 12.5ms	remaining: 1.38s
9:	learn: 61534.0939774	total: 13.7ms	remaining: 1.36s
10:	learn: 60010.6983004	total: 15ms	remaining: 1.35s
11:	learn: 58803.4989104	total: 15.8ms	remaining: 1.3s
12:	learn: 57358.3663402	total: 18ms	remaining: 1.37s
13:	learn: 56094.7111427	total: 19.3ms	remaining: 1.36s
14:	learn: 54835.9745769	total: 20.5ms	remaining: 1.34s
15:	learn: 53808.3736601	total: 21.6ms	remaining: 1.33s
16:	learn: 52589.5688537	total: 22.7ms	remaining: 1.31s
17:	learn: 51625.5887706	total: 23.5ms	remaining: 1.28s
18:	learn: 50618.6783929	total: 24.6ms	remaining: 1.27s
19:	learn: 49605.1479189	total: 25.8ms	remaining: 1.26s
20:	learn: 48585.2919612	total: 27ms	remaining: 1.26s
21:	learn: 47671.4188557	total: 28.1ms	remaining: 1.25s
22:	learn: 46872.5327867	total: 29.3ms	remaining: 1.24s
23:	learn: 45964.1542723	total: 30.4ms	remaining: 1.24s
24:	learn: 45063.4471889	total: 31.5ms	remaining: 1.23s
25:	learn: 44269.9279181	total: 32.7ms	remaining: 1.22s
26:	learn: 43442.0003544	total: 33.8ms	remaining: 1.22s
27:	learn: 42677.1291671	total: 34.9ms	remaining: 1.21s
28:	learn: 42005.6995409	total: 36ms	remaining: 1.21s
29:	learn: 41287.8556689	total: 37.2ms	remaining: 1.2s
30:	learn: 40581.4401519	total: 38.3ms	remaining: 1.2s
31:	learn: 39945.1085948	total: 39.4ms	remaining: 1.19s
32:	learn: 39277.6815760	total: 40.5ms	remaining: 1.19s
33:	learn: 38620.2502146	total: 41.7ms	remaining: 1.18s
34:	learn: 38103.6487030	total: 42.8ms	remaining: 1.18s
35:	learn: 37588.5034856	total: 43.9ms	remaining: 1.18s
36:	learn: 37039.7950405	total: 45ms	remaining: 1.17s
37:	learn: 36517.5608260	total: 46.1ms	remaining: 1.17s
38:	learn: 36014.7072507	total: 47.2ms	remaining: 1.16s
39:	learn: 35571.7907674	total: 48.4ms	remaining: 1.16s
40:	learn: 35128.3609481	total: 49.5ms	remaining: 1.16s
41:	learn: 34670.2588273	total: 50.6ms	remaining: 1.15s
42:	learn: 34265.4339325	total: 51.7ms	remaining: 1.15s
43:	learn: 33790.7927430	total: 52.9ms	remaining: 1.15s
44:	learn: 33435.1222398	total: 54ms	remaining: 1.15s
45:	learn: 32959.5055094	total: 55.1ms	remaining: 1.14s
46:	learn: 32605.4932062	total: 56.2ms	remaining: 1.14s
47:	learn: 32214.8180586	total: 57.3ms	remaining: 1.14s
48:	learn: 31848.8856923	total: 58.4ms	remaining: 1.13s
49:	learn: 31441.9857799	total: 59.5ms	remaining: 1.13s
50:	learn: 31095.1235317	total: 60.6ms	remaining: 1.13s
51:	learn: 30796.5477663	total: 61.9ms	remaining: 1.13s
52:	learn: 30429.2432778	total: 63ms	remaining: 1.13s
53:	learn: 30121.5092152	total: 64.1ms	remaining: 1.12s
54:	learn: 29861.4661155	total: 65.3ms	remaining: 1.12s
55:	learn: 29545.1354546	total: 66.5ms	remaining: 1.12s
56:	learn: 29269.4031866	total: 67.6ms	remaining: 1.12s
57:	learn: 28970.7635492	total: 68.7ms	remaining: 1.11s
58:	learn: 28707.3742610	total: 69.7ms	remaining: 1.11s
59:	learn: 28440.1931968	total: 70.9ms	remaining: 1.11s
60:	learn: 28162.8708024	total: 72ms	remaining: 1.11s
61:	learn: 27909.5196665	total: 73.2ms	remaining: 1.11s
62:	learn: 27656.7093846	total: 74.4ms	remaining: 1.11s
63:	learn: 27417.0847713	total: 75.5ms	remaining: 1.1s
64:	learn: 27208.8452926	total: 76.6ms	remaining: 1.1s
65:	learn: 27010.4567475	total: 77.7ms	remaining: 1.1s
66:	learn: 26789.9671540	total: 78.8ms	remaining: 1.1s
67:	learn: 26587.4079384	total: 79.9ms	remaining: 1.09s
68:	learn: 26435.0078515	total: 81ms	remaining: 1.09s
69:	learn: 26232.0319428	total: 82.1ms	remaining: 1.09s
70:	learn: 26056.7895950	total: 83.2ms	remaining: 1.09s
71:	learn: 25855.4511514	total: 84.3ms	remaining: 1.08s
72:	learn: 25680.0341635	total: 85.3ms	remaining: 1.08s
73:	learn: 25465.6610498	total: 86.4ms	remaining: 1.08s
74:	learn: 25298.6442104	total: 87.5ms	remaining: 1.08s
75:	learn: 25121.7738504	total: 88.7ms	remaining: 1.08s
76:	learn: 24947.7738334	total: 89.8ms	remaining: 1.08s
77:	learn: 24786.9787686	total: 90.9ms	remaining: 1.07s
78:	learn: 24606.1868911	total: 92ms	remaining: 1.07s
79:	learn: 24426.0573643	total: 93.1ms	remaining: 1.07s
80:	learn: 24250.3700477	total: 94.2ms	remaining: 1.07s
81:	learn: 24092.2400462	total: 95.4ms	remaining: 1.07s
82:	learn: 23923.1763068	total: 96.5ms	remaining: 1.06s
83:	learn: 23755.9937139	total: 97.6ms	remaining: 1.06s
84:	learn: 23589.6095473	total: 98.7ms	remaining: 1.06s
85:	learn: 23465.8972071	total: 99.7ms	remaining: 1.06s
86:	learn: 23341.3603647	total: 101ms	remaining: 1.06s
87:	learn: 23253.1154981	total: 102ms	remaining: 1.06s
88:	learn: 23130.8119195	total: 103ms	remaining: 1.05s
89:	learn: 23018.9883223	total: 104ms	remaining: 1.05s
90:	learn: 22898.5113244	total: 105ms	remaining: 1.05s
91:	learn: 22787.4669008	total: 106ms	remaining: 1.05s
92:	learn: 22690.8217532	total: 108ms	remaining: 1.05s
93:	learn: 22598.9752233	total: 109ms	remaining: 1.05s
94:	learn: 22499.2472066	total: 110ms	remaining: 1.04s
95:	learn: 22407.4804150	total: 111ms	remaining: 1.04s
96:	learn: 22326.1367979	total: 112ms	remaining: 1.04s
97:	learn: 22237.7099122	total: 113ms	remaining: 1.04s
98:	learn: 22173.7522192	total: 114ms	remaining: 1.04s
99:	learn: 22062.6320815	total: 115ms	remaining: 1.04s
100:	learn: 21982.5777371	total: 116ms	remaining: 1.03s
101:	learn: 21890.9102837	total: 118ms	remaining: 1.03s
102:	learn: 21808.6712327	total: 119ms	remaining: 1.03s
103:	learn: 21707.4258533	total: 120ms	remaining: 1.03s
104:	learn: 21602.2386142	total: 121ms	remaining: 1.03s
105:	learn: 21537.1590058	total: 122ms	remaining: 1.03s
106:	learn: 21475.3126049	total: 123ms	remaining: 1.03s
107:	learn: 21403.9143591	total: 124ms	remaining: 1.02s
108:	learn: 21321.6513657	total: 125ms	remaining: 1.02s
109:	learn: 21249.7394811	total: 126ms	remaining: 1.02s
110:	learn: 21184.2611784	total: 128ms	remaining: 1.02s
111:	learn: 21116.4207566	total: 129ms	remaining: 1.02s
112:	learn: 21034.9991226	total: 130ms	remaining: 1.02s
113:	learn: 20990.2244015	total: 131ms	remaining: 1.02s
114:	learn: 20918.0680507	total: 132ms	remaining: 1.01s
115:	learn: 20867.7713539	total: 133ms	remaining: 1.01s
116:	learn: 20803.9194499	total: 134ms	remaining: 1.01s
117:	learn: 20705.4907764	total: 135ms	remaining: 1.01s
118:	learn: 20646.9421135	total: 136ms	remaining: 1.01s
119:	learn: 20593.5760021	total: 138ms	remaining: 1.01s
120:	learn: 20519.0241688	total: 139ms	remaining: 1.01s
121:	learn: 20451.6547699	total: 140ms	remaining: 1s
122:	learn: 20378.6782219	total: 141ms	remaining: 1s
